Accel_X,Accel_Y,Accel_Z
143,3989,-15523
142,3969,-15529
166,3983,-15534
147,3949,-15529
139,3969,-15541
142,3965,-15530
171,3963,-15539
156,3990,-15532
166,3981,-15528
155,3979,-15515
167,3993,-15528
146,3973,-15509
147,4005,-15520
163,3975,-15528
156,3976,-15541
166,3965,-15532
129,3957,-15536
151,3980,-15545
174,3971,-15527
158,3975,-15522
158,3987,-15535
154,3976,-15517
164,3982,-15530
155,3985,-15531
150,3999,-15524
147,3989,-15530
146,3983,-15511
137,3976,-15526
178,3969,-15539
147,3958,-15514
158,3981,-15553
153,3984,-15529
168,3983,-15524
153,3985,-15533
151,3984,-15512
143,3994,-15528
168,3989,-15519
140,3981,-15529
166,3983,-15540
165,3981,-15522
154,3981,-15524
153,3974,-15525
151,3997,-15531
140,3978,-15532
132,3983,-15529
149,4002,-15524
148,3974,-15525
154,3990,-15528
172,3976,-15511
146,3977,-15519
154,3974,-15530
176,3970,-15518
171,3975,-15532
162,3980,-15545
169,3978,-15517
151,3979,-15529
156,3984,-15541
156,3984,-15513
160,3992,-15541
162,3974,-15537
139,3976,-15519
154,3995,-15528
149,3975,-15518
146,3967,-15534
142,3976,-15531
148,3971,-15525
158,3976,-15527
167,3965,-15519
166,3981,-15513
158,3992,-15529
164,3994,-15531
142,3991,-15514
142,3976,-15528
162,3997,-15527
148,3983,-15499
143,3983,-15530
151,3989,-15515
156,3971,-15510
158,3976,-15548
169,3978,-15518
158,3967,-15524
171,3981,-15546
164,3977,-15519
153,3980,-15524
157,3979,-15527
145,3970,-15521
162,3974,-15540
162,3999,-15527
150,3966,-15532
152,3967,-15534
153,3969,-15529
154,3971,-15527
144,3974,-15516
141,3969,-15503
126,3975,-15524
144,4000,-15530
146,3989,-15510
130,4002,-15526
150,3995,-15531
145,3981,-15520
161,3986,-15543
189,3940,-15519
178,3940,-15522
167,3956,-15542
177,3944,-15513
147,3968,-15522
157,3976,-15519
147,3985,-15534
121,4007,-15521
147,4011,-15498
144,4014,-15503
156,3989,-15538
167,3976,-15517
166,3975,-15534
166,3962,-15506
177,3953,-15525
185,3967,-15539
173,3968,-15545
170,3979,-15524
157,3989,-15517
141,3992,-15529
134,3998,-15534
121,3991,-15507
148,3987,-15535
168,3984,-15504
138,3966,-15528
166,3970,-15533
168,3953,-15524
152,3978,-15543
169,3986,-15535
166,3981,-15504
152,3984,-15532
186,3973,-15503
134,3975,-15523
149,3985,-15524
148,3982,-15518
139,3979,-15532
147,3977,-15526
163,3965,-15530
143,3972,-15537
159,3973,-15514
170,3958,-15527
144,3983,-15526
167,3984,-15509
157,3998,-15520
144,3978,-15532
156,3977,-15538
149,3975,-15533
154,3977,-15527
162,3973,-15526
162,3966,-15498
171,3990,-15515
175,3981,-15533
176,3970,-15532
166,3972,-15523
143,3965,-15504
122,3983,-15550
140,3988,-15588
128,3961,-15544
128,3969,-15483
128,3962,-15473
145,3980,-15500
170,3983,-15478
194,3981,-15497
189,4015,-15573
182,3995,-15610
185,3983,-15580
172,3963,-15500
135,3954,-15462
126,3957,-15493
142,3946,-15492
116,3946,-15521
134,3982,-15571
133,3992,-15578
143,4009,-15573
173,4028,-15523
163,3996,-15460
176,3998,-15471
180,3975,-15491
187,3964,-15522
166,3955,-15555
155,3954,-15576
160,3981,-15584
153,3994,-15533
155,3995,-15489
136,4008,-15489
135,3983,-15474
156,3989,-15498
142,3989,-15516
175,3976,-15541
184,3971,-15574
169,3964,-15575
159,3928,-15556
133,3962,-15525
134,3949,-15497
150,3958,-15511
145,3995,-15490
151,4028,-15486
141,4014,-15536
152,4009,-15560
155,3990,-15544
149,3978,-15506
156,3957,-15503
161,3965,-15499
192,3943,-15508
169,3952,-15517
166,3966,-15560
157,3962,-15549
142,3987,-15525
149,3965,-15541
117,3963,-15551
109,3945,-15452
143,3991,-15462
135,3975,-15543
179,4016,-15544
212,4001,-15522
200,4006,-15577
211,3987,-15588
163,3933,-15520
160,3938,-15468
149,3920,-15468
115,3941,-15541
170,3974,-15547
132,4003,-15518
122,4009,-15566
120,4008,-15562
100,4008,-15504
135,3998,-15481
181,3994,-15481
180,3997,-15515
211,3963,-15536
203,3950,-15551
160,3945,-15573
159,3941,-15546
116,3969,-15551
112,3962,-15486
136,4009,-15481
118,4007,-15529
152,4008,-15515
148,4004,-15505
161,3968,-15527
157,3984,-15556
186,3965,-15521
155,3947,-15512
168,3977,-15543
165,3950,-15532
137,3964,-15522
142,3994,-15520
128,3968,-15501
119,4001,-15564
163,3994,-15495
145,3975,-15510
152,4004,-15557
154,3972,-15508
133,3958,-15517
172,3989,-15518
170,3957,-15531
145,3975,-15551
191,3975,-15521
169,3974,-15523
178,3993,-15543
173,3982,-15516
133,4000,-15510
175,3989,-15505
150,3983,-15509
158,3986,-15529
156,3964,-15524
131,3972,-15550
114,3977,-15538
129,3975,-15540
162,3980,-15531
145,3989,-15515
162,3975,-15511
159,3970,-15501
141,3984,-15526
161,3987,-15550
161,3972,-15518
142,3987,-15544
178,3969,-15529
168,3966,-15499
151,3994,-15540
161,3977,-15507
130,3963,-15531
157,3993,-15545
159,3996,-15522
137,3988,-15534
163,3996,-15518
149,3971,-15516
152,3976,-15551
162,3966,-15523
151,3965,-15522
152,3973,-15543
172,3982,-15518
148,3980,-15543
150,3981,-15533
143,3970,-15524
130,3974,-15521
139,3980,-15519
132,3984,-15516
135,3972,-15524
171,4005,-15541
158,3967,-15513
163,3975,-15551
192,3970,-15512
151,3947,-15522
147,3982,-15544
162,3975,-15513
139,3981,-15523
146,3990,-15537
142,3967,-15519
150,3979,-15536
144,3988,-15511
136,3964,-15502
152,3985,-15547
171,3971,-15509
181,3979,-15509
169,3974,-15531
155,3974,-15514
168,3967,-15550
158,3974,-15524
141,3983,-15526
135,3969,-15545
134,3968,-15504
131,3972,-15520
131,3986,-15531
163,3974,-15534
157,3971,-15531
164,3979,-15536
197,3979,-15522
172,3971,-15525
171,3974,-15511
163,3993,-15524
151,3977,-15537
142,3981,-15518
142,3966,-15526
136,3969,-15525
151,3983,-15532
145,3970,-15526
156,3978,-15524
171,3972,-15528
181,3973,-15527
165,3970,-15540
163,3971,-15527
171,3968,-15539
153,3997,-15530
139,3976,-15521
150,3988,-15522
127,3969,-15521
141,3974,-15510
140,3961,-15531
134,3978,-15520
167,3976,-15524
150,3979,-15534
174,3966,-15531
147,3985,-15518
192,3983,-15517
174,3985,-15507
164,3976,-15522
158,3981,-15548
143,3965,-15516
143,3979,-15528
139,3983,-15513
140,3968,-15516
120,3974,-15532
159,3990,-15515
130,3966,-15524
175,3974,-15538
163,3977,-15534
146,3978,-15538
167,3966,-15523
135,3981,-15518
146,3986,-15523
161,3985,-15508
134,3987,-15529
158,3968,-15536
163,3968,-15521
167,3960,-15530
157,3972,-15521
165,3968,-15513
159,3961,-15528
163,3980,-15525
154,3982,-15519
169,3990,-15541
174,3990,-15534
151,3982,-15526
155,3982,-15522
142,3983,-15527
133,3964,-15519
152,3983,-15538
167,3968,-15510
152,3992,-15538
194,3979,-15522
167,3970,-15499
158,3978,-15527
174,3982,-15499
149,3973,-15526
156,3993,-15546
144,3979,-15506
146,3998,-15540
164,3992,-15531
144,3967,-15519
156,3999,-15536
169,3946,-15484
152,3981,-15536
167,3989,-15527
157,3979,-15514
163,4004,-15539
156,4001,-15517
141,3978,-15505
153,3985,-15522
157,3977,-15523
146,3994,-15531
150,3971,-15523
142,3983,-15513
142,3977,-15528
157,3963,-15518
157,3967,-15527
146,3975,-15518
151,3986,-15533
159,3982,-15540
140,3966,-15518
169,3995,-15524
156,3969,-15525
143,3971,-15530
157,3993,-15528
159,3962,-15489
143,3982,-15542
159,3981,-15534
144,3982,-15524
146,3987,-15539
150,3974,-15504
146,3996,-15514
173,4005,-15511
162,3979,-15505
160,3991,-15535
166,3978,-15523
148,3983,-15520
142,3972,-15524
171,3976,-15513
142,3971,-15524
153,3974,-15533
151,3949,-15514
165,3971,-15530
167,3979,-15533
174,3979,-15517
151,3983,-15525
164,3997,-15517
152,3978,-15511
131,3968,-15522
149,3987,-15522
135,3964,-15521
144,3962,-15544
151,3987,-15526
146,3959,-15509
143,3981,-15538
172,3970,-15509
148,3948,-15512
187,3981,-15549
168,3973,-15519
139,3990,-15555
178,3990,-15524
134,3976,-15512
141,3984,-15526
159,3993,-15494
125,3966,-15512
169,3993,-15524
165,3948,-15522
133,3977,-15575
167,3986,-15545
143,3971,-15496
138,3978,-15515
165,3985,-15502
134,3972,-15514
152,3979,-15516
165,3998,-15503
